Daerah,Nama Kuliner,"Bahan Utama (mis: beras,labu)",Bahan pengganti (mis: sagu),"Bahan pelengkap (mis: sayur kangkung, daun singkong)","Bentuk dan tekstur (mis: kuah kental, lembek)",Cara penyajian khusus (mis: dengan daun pisang),Deskripsikan Aroma lebih detail,Deskripsikan Rasa lebih detail,Apa rasa dominan kuliner tersebut ? [Nasi jajan],Level Pedas kuliner lokal di bawah ini [Nasi jajan],Level Gurih kuliner lokal di bawah ini [Nasi jajan],Level Manis kuliner lokal di bawah ini [Nasi jajan],Level Asin kuliner lokal di bawah ini [Nasi jajan],Level Asam kuliner lokal di bawah ini [Nasi jajan],Bagaimana aroma kuliner tersebut? [Nasi jajan],Nutrisi dari makanan [Nasi jajan],Tekstur makanan (mudah dikunyah/ tingkat kelembutan makanan) [Nasi jajan],Penggunaan bahan alami [Nasi jajan],Kesegaran makanan [Nasi jajan],Kebersihan makanan [Nasi jajan],Status halal makanan [Nasi jajan]
,Lenggang,ikan tenggiri,ikan kakap,"udang rebon timun, cuka",lingkaran pipih,disajikan dipiring dan disiram dengan cuka serta tambahan potongan timun dan udang rebon,tidak ada aroma,rasa gurih,Gurih dengan dominan bumbuu rempah tertentu,1,4,0,3,0,Tidak beraroma,5,3,5,5,5,Halal
,Pempek,ikan tenggiri,"ikan gabus, ikan sapu - sapu",cuka,"pempek bulat, pipih, lonjong",disajikan dengann cuka,tercium aroma ikan,rasanya gurih,Gurih penyedap,0,5,0,2,0,Tidak beraroma,5,3,5,4,5,Halal
,Model,ikan tenggiri,"ikan gabus, ikan sapu - sapu","timun, bihun",bulat besar,disajikan dimangkok,kuahnya tercium aroma kaldu udang,rasanya gurih,Gurih dengan dominan bumbuu rempah tertentu,1,4,0,3,0,Aroma rempah yang sedang,4,3,4,4,4,Halal
,Tekwan,ikan tenggiri,"ikan gabus, ikan sapu - sapu","timun, bihun",bulat kecil tidak beraturan,disajikan dimangkok,disajikan di piring dan dimakan dengan cuka,rasanya gurih,Gurih dengan dominan bumbuu rempah tertentu,1,5,0,3,0,Tidak beraroma,4,4,5,5,5,Halal
,Mie Celor,mie kuning basah,-,telur rebus,mie kenyal,mie celor disajikan dimangkok dan disiram dengan kuah santan kental gurih yang berisi udang,tercium aroma rempah,rasanya gurih,Gurih penyedap,0,4,0,3,0,Tidak beraroma,5,3,4,5,4,Halal
,Rujak Mie,mie kuning basah,mie instan,"timun, kerupuk merah",mie kenyal,disajikan dipiring dengan mie disiram dengan cuka dan diberi potongan pempek dan tahu goreng,tidak ada aroma,rasanya gurih dan sedikit pedas dari cukanya,Gurih dengan dominan bumbuu rempah tertentu,0,5,0,3,0,Aroma rempah yang sedang,4,3,5,5,5,Halal
,Lenggang,ikan tenggiri,"ikan gabus, ikan sapu - sapu","cuka, timun, udang rebon",lengang terasa lembut dan sedkit kenyal,disajikan dipiring dan disiram dengan cuka serta tambahan potongan timun dan udang rebon,tercium aroma telur yang digoreng,rasanya gurih dan sedikit pedas dari cukanya,Gurih dengan dominan bumbuu rempah tertentu,0,5,0,3,0,Aroma rempah yang sedang,5,3,4,5,5,Halal
Bandar Lampung,Lapis Legit,Tepung Terigu,kurang tau,"mentega, telur",lembut,didalam loyang,aroma telur dan mentega dan wangi kayu manis yang kuat,rasa manis yang kuat dan campuran rasa telur yang kuat,Manis dengan rasa gula yang kuat,0,3,5,1,0,Agak berbau khas tertentu,5,5,4,5,5,Halal
,Sekubal,ketan,kurang tau,santan,kenyal,daun pisang,tidak beraroma,rasa gurih dari santan,Gurih dengan dominan bumbuu rempah tertentu,0,4,0,4,0,Tidak beraroma,2,5,5,5,5,Halal
,Pie Pisang,pisang,kurang tau,"keju, coklat",lembut dan krispi,didalam loyang,aroma pisang dan aroma coklat yang kuat,rasa manis dari pisang dan campuran rasa lainnya,Manis dengan rasa gula yang kuat,0,4,5,3,0,Agak berbau khas tertentu,5,5,4,5,5,Halal
,Lapis Legit,"telur, mentega, tepung",tidak tau,"kayu manis, gula",berlapis-lapis dan lmbut,dipotong kotak-kotak,aroma telur dan mentega yang kuat,rasa manis dari gula yang kuat,Asin dengan dominan bumbu rempah tertentu,1,4,1,5,1,Agak berbau khas tertentu,1,4,1,4,1,Tidak tahu
,Sekubal,ketan,tidak tau,santan,bulat dan kenyal,daun pisang,aroma santan,rasa gurih dari santan,Pedas dengan rasa cabai kuat,2,3,2,3,2,Aroma rempah yang kuat,2,3,2,3,2,Tidak halal
,Pie Pisang,pisang,tidak tau,"coklat, keju, kismis",lonjong berbentuk pisang dan krispi,tidak ada,aroma dari pisang dan coklat/keju,"rasa manis dari adonan roti, pisang dan coklat",Asin dengan dominan bumbu rempah tertentu,1,4,1,4,1,Agak berbau khas tertentu,1,4,1,4,1,Tidak tahu
,Lapis Legit,"mentega, telur, tepung",kurang tau,"gula, kapulaga",berlapis-lapis dan lembut,dipotong kotak-kotak,aroma mentega dan telur yang kuat,"rasa manis dari gula, dan gurih dari telur",Manis dengan rasa gula yang kuat,1,1,5,1,1,Tidak beraroma,3,4,3,3,5,Halal
,Sekubal,ketan,kurang tau,santan,bulat dan agak kenyal dan lembut,dibungkus daun pisang,tidak terlalu beraroma,rasa gurih dari santan,Gurih dengan dominan bumbuu rempah tertentu,1,4,1,3,1,Tidak beraroma,3,4,3,3,5,Halal
,Pie Pisang,pisang,kurang tau,"coklat, keju, srikaya dll",berbentuk seperti pisang,tidak ada,aroma dari adonan dan pisang,"rasa manis dari pisang, coklat, keju, srikaya dll, dan gurih dari adonan kue","Manis dengan dominan rasa tertentu (coklat, vanila, srikaya, aren)",1,2,5,2,2,Tidak beraroma,3,4,3,3,5,Halal
,Lapis Legit,"tepung, menteg, telur",tidak ada,"coklat, kayu manis, cengkeh",berlapis-lapis dan lembut,dipanggang diloyang dan dipotong kotak2,aroma telur yang kuat,rasa manis yang kuat dan sedikit gurih,Manis dengan rasa gula yang kuat,0,0,5,0,0,Agak berbau khas tertentu,5,5,5,5,5,Halal
,Sekubal,ketan,tidak ada,santan,bulat,menggunakan daun pisang,tidak ada aroma,rasa gurih dari santan,Gurih penyedap,0,5,0,1,0,Tidak beraroma,5,5,5,5,5,Halal
,Pie Pisang,pisang,kurang tau,"coklat, keju, original","bentuk seperti buah pisang, lembut dan krispi",tidak ada,aroma dari adonan pisang,"rasa manis dari pisang,coklatdll","Manis dengan dominan rasa tertentu (coklat, vanila, srikaya, aren)",0,0,5,0,0,Agak berbau khas tertentu,5,5,5,5,5,Halal
,Lapis Legit,"mentega, telur, tepung",kurang tau,"cengkeh, kayu manis, gula, kapulaga",berlapis-lapis dan lembut,dipanggang didalam loyang,aroma telur dan mentega yang kuat,rasa manis dari gula yang kuat,Manis dengan rasa gula yang kuat,2,5,4,2,2,Tidak beraroma,3,3,4,3,5,Halal
,Sekubal,ketan,kurang tau,santan,bulat,daun pisang,aroma tidak ada,gurih dari santan,Gurih dengan dominan bumbuu rempah tertentu,2,5,5,2,2,Tidak beraroma,3,5,4,3,5,Halal
,Pie Pisang,pisang,kurang tau,coklat dan keju dll,bentuk pisang,tidak ada,aroma adonan yang kuat,rasa manis dari pisang dan coklat dll yang kuat,"Manis dengan dominan rasa tertentu (coklat, vanila, srikaya, aren)",1,5,5,1,2,Tidak beraroma,3,5,4,3,5,Halal
Jakarta,Nasi Uduk,Beras pulen,"Beras campur, beras pulen dan beras pera","Semur jengkol, sambel kacang, bawang goreng, emping, sayur kari, pindang bandeng,",Nikmat dan gurih,Kertas nasi dialasi daun pisang,"Aroma yang nikmat dan harus karna campuran dari rempah rempah seperti sereh, daun salam, lengkoas, dll",Memiliki rasa yang nikmat dan tekstur yang lembut,Gurih penyedap,5,5,5,5,5,Aroma rempah yang kuat,5,5,5,5,5,Halal
,Kue Lopis,Beras Ketan,-,"Kelapa usam, gula merah cair",Manis dan legit,Daun pisang,Aroma ketan yang di kukus dan wangi gula aren,Rasa gula aren yang manis bercampur dengan kelapa usam yang menambah rasa legit dan gurih,Gurih penyedap,5,5,5,5,5,Aroma rempah yang kuat,5,5,5,5,5,Halal
,Nasi Uduk,beras,beras merah,"semur,tempe orek,telur,bihun,ayam,sambel kacang","gurih,renyah,sedap",kertas nasi dan di beri daun,"aroma harum dengan rempah rempah santan berasa,lengkuas ,sereh,daun salam,daun jeruk.",memiliki rasa yang gurih dan sedap,Gurih dengan dominan bumbuu rempah tertentu,3,3,3,2,2,Agak berbau khas tertentu,3,3,3,3,3,Halal
,Kue Lopis,ketan,-,"gula ,kelapa",kenyal dan manis,"daun pisang ,plastik",aroma ketan di baruti parutan kelapa dan gula aren,rasanya manis dari siraman gula merah dan parutan kelapa agar terasa gurih,Manis dengan rasa gula yang kuat,1,3,2,2,2,Agak berbau khas tertentu,3,3,3,3,3,Halal
,Nasi Uduk,beras putih,beras merah,"semur tempe, tahu, telur, bihun, ayam, empal, sambal kacang, bawang goreng, kerupuk",pulen dan gurih,dengan kertas nasi ataupun daun pisang,"aromanya harum dengan ciri khas dari rempah-rempah seperti santan, daun jeruk, lengkuas, serai dan daun salam.",memiliki rasa yang gurih.,Gurih dengan dominan bumbuu rempah tertentu,4,4,4,0,0,Aroma rempah yang kuat,3,3,5,5,5,Halal
,Kue Lopis,beras ketan,-,"gula aren, kelapa",kenyal legit dan manis,"dengan kertas nasi, daun pisang dan plastik",aromanya harum dengan parutan kelapa dan gula aren,rasa manis dari siraman gula aren cair berpadu dengan gurihnya kue lopis.,Manis dengan rasa gula yang kuat,0,0,2,0,0,Tidak beraroma,3,3,4,5,5,Halal
,Nasi Uduk,Beras Putih,Beras Merah,"semur jengkol, tempe, tahu, telur, bihun, ayam, gorengan, sambal kacang, bawang goreng, kerupuk",Pulen dan Gurih,dengan kertas nasi atau daun pisang,"aromanya harum dengan ciri khas dari rempah-rempah seperti santan, daun jeruk, lengkuas, serai dan daun salam.",memiliki rasa yang gurih,Gurih dengan dominan bumbuu rempah tertentu,4,4,4,2,0,Aroma rempah yang kuat,3,3,5,5,5,Halal
,Kue Lopis,beras ketan,-,gula aren dan kelapa,"kenyal, legit dan manis",daun pisang dan plastik mika,aromanya harum dengan parutan kelapa dan gula aren,rasa manis dari siraman gula aren cair berpadu dengan legitnya kue lopis yang ditaburkan kelapa parut,Manis dengan rasa gula yang kuat,0,0,2,0,0,Tidak beraroma,3,3,4,5,5,Halal
,Nasi Uduk,beras putih,beras merah,"tahu, tempe, telur, daging ayam, kerupuk, sambal kacang, bawang goreng, emping, bihun","gurih, empuk",dengan daun pisang dan kertas nasi,aroma santan yang sedang dan aroma bawang goreng,rasa guri dari santan dan asin yang sedang,Gurih dengan dominan bumbuu rempah tertentu,3,2,4,1,1,Aroma rempah yang sedang,3,3,5,3,3,Halal
,Kue Lopis,beras ketan,tidak ada,"gula aren, kelapa","empuk, manis",dengan daun pisang dan kertas nasi,aroma beras ketan dan santan yang sedang,rasa guri dari santan dan manis dari gula aren yang manis,Manis dengan rasa gula yang kuat,1,1,3,1,1,Aroma rempah yang sedang,3,3,5,3,3,Halal
Bali,Ayam Betutu,ayam,bebek,sayur kangkung,daging empuk,daun pisang,harum,"pedas , rempahnya terasa",Gurih dengan dominan bumbuu rempah tertentu,3,5,2,3,2,Aroma rempah yang kuat,3,4,4,5,5,Halal
,Sate Lilit,ayam,ikan,kelapa,empuk,katik sate,wangi,pedas manis,Gurih dengan dominan bumbuu rempah tertentu,3,5,3,3,2,Aroma rempah yang kuat,3,4,4,5,5,Halal
,Tum,ayam,ikan,bumbu,empuk,daun pisang,wangi,asin rempah terasa,Pedas dengan dominan bumbu rempah tertentu,3,5,2,4,2,Aroma rempah yang kuat,3,4,4,5,5,Halal
,Jukut Urab,sayur kacang panjang,sayur tauge,kelapa,kasar,daun pisang,wangi,peda asin,Pedas dengan dominan bumbu rempah tertentu,3,5,2,4,2,Aroma rempah yang kuat,3,4,4,5,5,Halal
,Lawar,sayur nangka,sayur klungah,bumbu,kasar,-,wangi,asin pedas manis,Pedas dengan dominan bumbu rempah tertentu,3,5,2,3,2,Aroma rempah yang kuat,3,4,4,5,5,Halal
,Ayam Betutu,ayam,bebek,sayur kangkung,lumayan empuk,daun pisang,tidak berbau,"pedas, rempahnya terasa",Pedas dengan rasa cabai kuat,5,3,3,3,4,Aroma rempah yang sedang,3,3,3,4,5,Halal
,Sate Lilit,ikan,tidak tahu,kelapa,sangat empuk,katik sate,wangi,pedas manis,Pedas dengan rasa cabai kuat,3,4,5,3,2,Aroma rempah yang sedang,3,4,3,5,5,Halal
,Jukut Urab,sayur kacang panjang,sayur tauge,kelapa,kasar,daun pisang,tidak berbau,asin,Gurih dengan dominan bumbuu rempah tertentu,2,3,2,3,2,Tidak beraroma,3,4,4,4,5,Halal
,Lawar,-,-,-,-,-,-,-,Tidak pernah coba,1,1,1,1,1,0,0,0,0,0,0,Tidak tahu
,Ayam Betutu,Ayam,Bebek,Daun singkong,Kering,-,Aroma pedas,Pedas,Pedas dengan rasa cabai kuat,3,3,1,3,1,Aroma rempah yang kuat,2,2,3,3,3,Halal
,Sate Lilit,Ayam,Bebek,Kecap,Kering,-,Aroma rempah,Sedang,Pedas dengan dominan bumbu rempah tertentu,2,2,1,2,1,Aroma rempah yang sedang,2,2,3,3,3,Halal
,Tum,Ayam,Tepung,Kulit daging,Lembek,-,Aroma rempah,Sedang,Pedas dengan dominan bumbu rempah tertentu,2,1,1,1,1,Tidak beraroma,2,2,3,3,3,Halal
,Jukut Urab,Toge,Kacang panjang,Kacang tanah,Lembek,-,Aroma pedas,Pedas,Pedas dengan rasa cabai kuat,3,1,1,1,1,Aroma rempah yang sedang,2,2,3,3,3,Halal
,Lawar,Kacang panjang,Daging,Parut kelapa,Lembek,-,Aroma kelapa,Pedas,Pedas dengan dominan bumbu rempah tertentu,2,1,1,1,1,Aroma rempah yang sedang,2,2,3,3,3,Halal
,Ayam Betutu,ayam,bebek,base genep,kuah kental,daun pisang,gurih dengan bumbu khas,pedas,Pedas dengan dominan bumbu rempah tertentu,3,3,1,1,1,Aroma rempah yang kuat,3,3,3,3,3,Halal
,Sate Lilit,"daging babi,ayam",tuna,kelapa parut,"padat, kenyal",tusuk sate,tdk terlalu beraroma,manis pedas,Gurih dengan dominan bumbuu rempah tertentu,2,3,2,1,1,Aroma rempah yang sedang,2,4,3,3,3,Halal
,Tum,ayam,babi,"daun salam, santan",kenyal,daun pisang,khas daging babi/ayam,tidak terlalu pedas,Pedas dengan dominan bumbu rempah tertentu,2,3,1,1,1,Aroma rempah yang sedang,2,3,3,3,3,Ragu-ragu
,Jukut Urab,kecambah,kangkung,kelapa parut,kasar,"ingke, daun pisang",tdk terlalu beraroma,"gurih, segar",Gurih dengan dominan bumbuu rempah tertentu,3,3,1,2,1,Agak berbau khas tertentu,4,4,3,4,2,Halal
,Lawar,nangka,daging babi,"darah babi, kulit babi",kasar,"ingke, kertas minyak",khas rempah,pedas,Pedas dengan dominan bumbu rempah tertentu,3,3,1,3,1,Aroma rempah yang sedang,2,4,3,4,2,Ragu-ragu
,Ayam Betutu,Ayama boiler,Ayam kampung,Bumbu betutu,Juicy,Aluminium foil,Rempah rempah,Enak dan gurih,Pedas dengan dominan bumbu rempah tertentu,2,3,1,0,1,Aroma rempah yang kuat,4,4,4,5,5,Halal
,Sate Lilit,Babi,Ayam,Tusuk sate,Agak padat,Ditusuk sate,Aroma babi,Pedes,Pedas dengan dominan bumbu rempah tertentu,2,3,0,0,2,Aroma rempah yang kuat,3,3,4,4,4,Ragu-ragu
,Tum,Babi,Ayam,Daun pisang,Juicy,Daun pisang,Aroma lemak babi,Berkuah dan gurih,Pedas dengan dominan bumbu rempah tertentu,3,3,0,0,2,Aroma rempah yang kuat,3,4,4,4,4,Ragu-ragu
,Jukut Urab,Toge,Bayam,Kelapa parut bakar,Lembut,Diaduk,Aroma kelapa bakar,Pedas dan renyah,Pedas dengan dominan bumbu rempah tertentu,3,3,0,0,2,Aroma rempah yang kuat,3,4,4,5,5,Halal
,Lawar,Sayur nangka,Kulit babi,Kelapa parut,Lembut,Diaduk,Aroma bumbu,Gurih,Pedas dengan dominan bumbu rempah tertentu,2,3,0,0,1,Aroma rempah yang kuat,3,4,4,4,4,Tidak halal
Ternate,Sayur garu,daun pepaya,jantung pisang,rempah,dominasi warna hijau,dengan piring/baskom,gurih dikarenakan rempah yang di gunakan pun tidak terlalu banyak,asin dikarenakan kebanyakan garam yg digunakan,Asin dengan dominan bumbu rempah tertentu,2,2,1,3,1,Aroma rempah yang sedang,2,4,5,5,4,Halal
,Papeda,Pati singkong,sagu tumang,air,"putih dan ada jga yg kehitaman, tekstur yang kenyal mudah ditelan tnpa di kunya",di baskom,memiliki aroma yang khas,"hambar tidak memiliki rasa, kecuali dipadukan dengan kuahnya",Gurih penyedap,1,1,1,1,1,Tidak beraroma,3,5,5,5,4,Halal
,Ikan kuah kuning,ikan cakalang,ikan madidihan,kunyit dan daun kemangi,kuning pekat dan ikannya pun empuk,di baskom,gurih dikarenakan rempah rempah-rempah yang digunakan juga ditambahkan dengan daun kemangi yang segar,agak pedas dan rasa dari kunyit dan kemangi membuat kuah kuning ini menjadi lebih nikmat,Gurih dengan dominan bumbuu rempah tertentu,4,5,3,1,1,Aroma rempah yang kuat,4,5,4,4,4,Halal
,Kuah soru,ikan julung kering,ikan cakalang,tomat dan bawang putih,agak kuning dan ikannya pun agak keras,di baskom,gurih dikarenakan rempah rempah-rempah yang digunakan masih dalam keadaan segar ditambahkan dengan penyedap masakan,tidak terlalu pedas karenakan tidak bnyak menggunakan rica,Gurih dengan dominan bumbuu rempah tertentu,3,4,2,1,1,Aroma rempah yang kuat,3,4,4,4,4,Halal
,Sayur garu,daun singkong dan jantung pisang,bunga pepaya,bumbu ulek,mudah di kunyah,dengan piring atau mangkuk,aroma bumbu yang sedang namun gurih pada saat dimakan,rasanya gurih dengan rempah yang sederhana,Pedas dengan dominan bumbu rempah tertentu,3,4,1,3,1,Aroma rempah yang sedang,3,4,4,4,4,Halal
,Papeda,sagu,tepung tapioka,air mendidih,lembut,dengan mangkok besar,memiliki aroma setelah di masak yang sedang menambah kegurihan,rasanya yang gurih menambah keinginan untuk makan,Gurih dengan dominan bumbuu rempah tertentu,1,3,1,1,1,Tidak beraroma,3,4,4,4,4,Halal
,Ikan kuah kuning,ikan dasar,ikan cakalang,"tomat, rica, kunyit, bawang, serei, daun kemanyi","kuah kuning terang, dan ikan empuk",dengan mangkok,dengan adanya rempah-rempah alami membuat kita semakin menambah pada saat makan,rasa rempah asli membuat kuah kuning semakin gurih dan membuat kita ketagihan,Gurih dengan dominan bumbuu rempah tertentu,3,4,1,3,3,Aroma rempah yang kuat,3,4,4,4,4,Halal
,Kuah soru,ikan fufu,ikan julung,santan kelapa,kuah kental dengan santan kelapa,dengan mangkok,aroma rempah yang sedang semakin gurih,rasa santan kelapa dan bumbu yang pas membuat kita lahap dalam makan,Gurih dengan dominan bumbuu rempah tertentu,3,4,1,3,3,Aroma rempah yang kuat,3,4,4,4,4,Halal
,Sayur garu,"daun Kasbi, bunga pepaya, jantung pisang",kangkung,"bawang merah, bawang putih, cabai, penyedap rasa",teksturnya tidak terlalu keras,tidak ada,aroma rempah yang sedang,pedas yang sedang dengan bumbu tertentu,Gurih dengan dominan bumbuu rempah tertentu,3,3,1,2,1,Aroma rempah yang sedang,3,4,4,5,5,Halal
,Papeda,sagu tumang,sagu kasbi,air mendidih (air panas),teksturnya lengket dan mudah di telan,tidak ada,aroma khas sagu,tidak ada rasa(tawar),Gurih dengan dominan bumbuu rempah tertentu,1,3,1,1,1,Agak berbau khas tertentu,3,4,4,5,5,Halal
,Ikan kuah kuning,ikan dasar,ikan jenis lainnya,"kunyit, cabai, daun kemangi, daun serai, lemon, penyedap rasa,bawang merah dan bawang putih",teksturnya empuk,tidak ada,aroma rempah yang kuat,rasa pedas yang sedang dengan bumbu tertentu,Pedas dengan rasa cabai kuat,3,3,1,2,2,Aroma rempah yang sedang,3,4,4,5,5,Halal
,Kuah soru,ikan tore (ikan julung),tidak ada,"tomat, terung rebus, bawang merah, lemon dan cabai",teksturnya keras,tidak ada,aroma rempah Yang sedang,rasa asam dengan bumbu tertentu,Gurih dengan dominan bumbuu rempah tertentu,2,3,1,2,2,Aroma rempah yang sedang,3,4,4,5,5,Halal
,Sayur garu,"daun Kasbi, jantung pisang, bunga pepaya",tidak ada,"bawang merah, bawang putih, cabai, penyedap rasa",diiris kecil-kecil dan teksturnya agak keras,tidak ada,aromanya rempah yang kuat,rasanya pedis yang sedang,Gurih dengan dominan bumbuu rempah tertentu,3,3,1,1,1,Aroma rempah yang sedang,4,3,5,5,5,Halal
,Papeda,"sagu tumang, sagu kasbi",tidak ada,air panas(air mendidih),teksturnya lengket,tidak ada,aroma khas sagu,rasanya tawar,Gurih dengan dominan bumbuu rempah tertentu,1,3,1,1,1,Tidak beraroma,4,3,5,5,5,Halal
,Ikan kuah kuning,ikan dasar,tidak ada,"bawang merah, bawang putih, kunyit, daun kemangi, penyedap rasa, abai",tekturnya ikannya empuk,tidak ada,aroma rempah yang kuat dan alami,"rasa pedas yang sedang dan empuk, dan enak untuk dimakan",Pedas dengan dominan bumbu rempah tertentu,2,3,1,1,1,Aroma rempah yang sedang,4,3,5,5,5,Halal
,Kuah soru,ikan julung,tidak ada,"tomat, terung rebus",teksturnya ikannya keras,tidak ada,aroma rempah yang sedang,rasa asam yang sedang,Manis dengan rasa gula yang kuat,2,3,1,1,1,Aroma rempah yang sedang,4,3,5,5,5,Halal
Bandung,Nasi TImbel,beras yang dijadikan nasi,,"Ayam, tempe, tahu, sambal","Daun pandan, daun jeruk.",dibungkus daun pisang dengan berbagai lauk pelengkap,aroma rempah,Gurih,Asin dengan dominan bumbu rempah tertentu,2,3,1,2,1,Aroma rempah yang kuat,2,3,2,3,3,Halal
,Ikan Bakar/Goreng,"daging Ikan mas,/gurame/bawal",aneka Ikan lainnya,"jeruk nipis, bawang, kecap.","garam, cabai",potongan daging empuk,ikan dengan bumbu rempah,gurih,Asin dengan dominan bumbu rempah tertentu,2,3,1,2,1,Aroma rempah yang sedang,2,2,2,3,3,Halal
,Ayam Bakar/Goreng,daging ayam,aneka unggas lainnya,"sambal, timun, selada","garam, lada",potongan daging umpuk,daging ayam yang dibakar atau digoreng,gurih,Asin dengan dominan bumbu rempah tertentu,2,3,1,2,1,Aroma rempah yang sedang,2,2,2,3,3,Halal
,Nasi TImbel,beras yang dijadikan nasi,,"Ayam, tempe, tahu, sambal","Daun pandan, daun jeruk.",dibungkus daun pisang dengan berbagai lauk pelengkap,aroma rempah,Gurih,Gurih dengan dominan bumbuu rempah tertentu,2,1,2,2,1,Aroma rempah yang kuat,3,2,3,3,3,Halal
,Ikan Bakar/Goreng,"daging Ikan mas,/gurame/bawal",aneka Ikan lainnya,"jeruk nipis, bawang, kecap.","garam, cabai",potongan daging empuk,ikan dengan bumbu rempah,gurih,Gurih dengan dominan bumbuu rempah tertentu,3,3,2,2,1,Aroma rempah yang sedang,3,2,3,3,3,Halal
,Ayam Bakar/Goreng,daging ayam,aneka unggas lainnya,"sambal, timun, selada","garam, lada",potongan daging umpuk,daging ayam yang dibakar atau digoreng,gurih,Gurih dengan dominan bumbuu rempah tertentu,3,3,2,2,1,Aroma rempah yang sedang,3,2,3,3,3,Halal
,Nasi TImbel,beras yang dijadikan nasi,,"Ayam, tempe, tahu, sambal","Daun pandan, daun jeruk.",dibungkus daun pisang dengan berbagai lauk pelengkap,aroma rempah,Gurih,Gurih dengan dominan bumbuu rempah tertentu,2,3,2,2,1,Aroma rempah yang kuat,3,3,3,3,3,Halal
,Ikan Bakar/Goreng,"daging Ikan mas,/gurame/bawal",aneka Ikan lainnya,"jeruk nipis, bawang, kecap.","garam, cabai",potongan daging empuk,ikan dengan bumbu rempah,gurih,Gurih dengan dominan bumbuu rempah tertentu,2,3,2,2,1,Aroma rempah yang sedang,3,3,3,3,3,Halal
,Ayam Bakar/Goreng,daging ayam,aneka unggas lainnya,"sambal, timun, selada","garam, lada",potongan daging umpuk,daging ayam yang dibakar atau digoreng,gurih,Gurih dengan dominan bumbuu rempah tertentu,2,3,2,2,1,Aroma rempah yang sedang,3,3,3,3,3,Halal
,Nasi TImbel,beras yang dijadikan nasi,,"Ayam, tempe, tahu, sambal","Daun pandan, daun jeruk.",dibungkus daun pisang dengan berbagai lauk pelengkap,aroma rempah,Gurih,Gurih dengan dominan bumbuu rempah tertentu,2,3,2,2,1,Aroma rempah yang kuat,3,3,3,3,3,Halal
,Ikan Bakar/Goreng,"daging Ikan mas,/gurame/bawal",aneka Ikan lainnya,"jeruk nipis, bawang, kecap.","garam, cabai",potongan daging empuk,ikan dengan bumbu rempah,gurih,Gurih dengan dominan bumbuu rempah tertentu,2,3,2,2,1,Aroma rempah yang sedang,3,3,3,3,3,Halal
,Ayam Bakar/Goreng,daging ayam,aneka unggas lainnya,"sambal, timun, selada","garam, lada",potongan daging umpuk,daging ayam yang dibakar atau digoreng,gurih,Gurih dengan dominan bumbuu rempah tertentu,2,3,2,2,1,Aroma rempah yang sedang,3,3,3,3,3,Halal
,Nasi TImbel,beras yang dijadikan nasi,,"Ayam, tempe, tahu, sambal","Daun pandan, daun jeruk.",dibungkus daun pisang dengan berbagai lauk pelengkap,aroma rempah,Gurih,Gurih dengan dominan bumbuu rempah tertentu,3,5,2,2,1,Aroma rempah yang sedang,5,5,5,5,5,Halal
,Ikan Bakar/Goreng,"daging Ikan mas,/gurame/bawal",aneka Ikan lainnya,"jeruk nipis, bawang, kecap.","garam, cabai",potongan daging empuk,ikan dengan bumbu rempah,gurih,Gurih dengan dominan bumbuu rempah tertentu,3,5,2,2,1,Aroma rempah yang sedang,5,5,5,5,5,Halal
,Ayam Bakar/Goreng,daging ayam,aneka unggas lainnya,"sambal, timun, selada","garam, lada",potongan daging umpuk,daging ayam yang dibakar atau digoreng,gurih,Gurih dengan dominan bumbuu rempah tertentu,3,5,2,2,1,Aroma rempah yang sedang,5,5,5,5,5,Halal
